id,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,grass_pollen,air_quality
10670,2023-09-11,14.7,9.3,193.42,1.69,0.55,94.04,0.0,Bonne
10671,2023-09-12,15.22,8.9,158.79,1.6,0.74,91.42,0.0,Bonne
10672,2023-09-13,12.75,8.99,142.5,1.36,0.55,70.75,0.0,Bonne
10673,2023-09-14,7.3,4.95,148.62,1.52,0.09,58.21,0.0,Bonne
10674,2023-09-15,7.58,5.16,150.46,1.46,0.25,67.58,0.0,Bonne
10675,2023-09-16,9.46,5.88,142.67,1.33,0.26,67.12,0.0,Bonne
10676,2023-09-17,36.12,14.12,122.29,1.0,0.35,58.08,0.0,Acceptable
10677,2023-09-18,34.93,14.95,124.71,1.45,0.26,60.75,0.0,Acceptable
8746,2024-03-10,2.5,1.79,138.33,0.85,0.05,78.96,0.05,Bonne
8747,2024-03-11,5.62,3.46,145.83,1.11,0.1,71.58,0.03,Bonne
8748,2024-03-12,4.58,3.4,155.62,0.88,0.1,77.92,0.05,Bonne
8749,2024-03-13,4.37,3.3,143.67,1.15,0.11,69.5,0.2,Bonne
8750,2024-03-14,5.65,4.46,145.92,1.18,0.15,67.0,0.32,Bonne
8751,2024-03-15,11.28,8.2,148.12,1.16,0.19,70.21,0.16,Bonne
8752,2024-03-16,6.57,4.2,139.08,0.8,0.07,73.54,0.11,Bonne
8753,2024-03-17,5.44,3.2,137.5,0.83,0.1,71.92,0.28,Bonne
8754,2024-03-18,4.6,3.51,128.75,1.04,0.08,61.54,0.15,Bonne
8755,2024-03-19,4.81,3.94,135.29,1.32,0.27,64.71,0.26,Bonne
8756,2024-03-20,8.35,6.84,147.83,1.28,0.25,65.42,0.37,Bonne
8757,2024-03-21,17.49,9.88,144.96,0.86,0.21,73.83,0.34,Bonne
8758,2024-03-22,8.96,5.36,134.67,0.95,0.25,72.42,0.48,Bonne
8759,2024-03-23,10.85,7.92,142.0,1.0,0.46,75.42,0.35,Bonne
8760,2024-03-24,5.57,2.75,140.21,0.58,0.42,77.96,0.4,Bonne
8761,2024-03-25,4.65,2.82,136.12,0.85,0.39,75.5,0.63,Bonne
8762,2024-03-26,6.04,3.88,134.71,0.94,0.1,79.96,0.26,Bonne
8763,2024-03-27,1.98,1.45,139.33,1.08,0.02,75.12,0.2,Bonne
8764,2024-03-28,4.36,2.37,134.67,1.02,0.13,76.75,0.41,Bonne
8765,2024-03-29,9.7,5.07,122.88,0.75,0.24,73.29,0.59,Bonne
8766,2024-03-30,16.82,7.31,125.17,0.68,0.29,78.92,0.64,Bonne
8767,2024-03-31,2.92,1.61,123.25,0.6,0.04,84.25,0.07,Bonne
8768,2024-04-01,2.37,1.28,131.38,0.86,0.08,75.29,0.3,Bonne
8769,2024-04-02,4.91,2.55,140.54,0.8,0.17,74.5,0.52,Bonne
8770,2024-04-03,5.61,3.25,138.75,1.2,0.15,72.71,0.57,Bonne
8771,2024-04-04,5.02,2.73,132.83,0.91,0.08,70.0,0.76,Bonne
8772,2024-04-05,6.73,4.79,127.08,1.17,0.2,72.12,0.79,Bonne
8773,2024-04-06,6.82,4.31,122.5,0.82,0.21,74.0,1.06,Bonne
8774,2024-04-07,10.77,6.13,120.5,0.88,0.3,77.17,1.38,Bonne
8775,2024-04-08,13.55,6.63,120.38,1.01,0.3,76.88,1.65,Bonne
8776,2024-04-09,7.59,4.14,128.21,0.77,0.12,84.62,0.52,Bonne
8777,2024-04-10,4.69,2.02,139.12,0.75,0.08,89.5,0.65,Bonne
8778,2024-04-11,8.02,4.87,138.92,1.1,0.13,79.17,1.44,Bonne
8779,2024-04-12,13.93,8.33,138.92,1.09,0.15,75.58,1.65,Bonne
8780,2024-04-13,15.0,8.14,134.62,0.92,0.12,74.29,1.89,Bonne
8781,2024-04-14,13.83,7.88,132.42,0.98,0.22,76.25,1.84,Bonne
8782,2024-04-15,13.68,7.9,128.92,0.91,0.23,75.08,1.66,Bonne
8783,2024-04-16,5.78,2.82,132.58,0.74,0.11,85.83,1.11,Bonne
8784,2024-04-17,4.58,2.45,144.38,0.69,0.1,80.88,0.84,Bonne
8785,2024-04-18,4.35,2.98,144.71,0.93,0.08,82.04,0.75,Bonne
8786,2024-04-19,6.68,5.77,145.5,1.17,0.2,83.54,1.42,Bonne
8787,2024-04-20,4.4,2.95,135.83,0.71,0.12,82.46,1.36,Bonne
8788,2024-04-21,4.22,2.62,139.46,0.92,0.13,74.08,1.28,Bonne
8789,2024-04-22,4.47,3.36,149.75,1.16,0.15,81.33,1.25,Bonne
8790,2024-04-23,7.24,6.89,151.5,1.18,0.18,86.04,1.34,Bonne
8791,2024-04-24,8.9,8.31,144.62,0.91,0.69,85.54,1.7,Bonne
8792,2024-04-25,5.1,3.78,136.08,0.65,0.08,82.58,1.67,Bonne
8793,2024-04-26,5.27,3.93,132.54,1.11,0.11,72.38,1.38,Bonne
8794,2024-04-27,3.88,2.94,122.79,0.7,0.05,79.62,1.65,Bonne
8795,2024-04-28,7.47,4.5,117.83,0.53,0.1,84.88,1.25,Bonne
8796,2024-04-29,14.03,6.73,117.92,0.96,0.19,69.92,4.31,Bonne
8797,2024-04-30,29.26,9.3,121.62,0.92,0.22,73.54,4.27,Acceptable
8798,2024-05-01,14.96,7.52,122.88,1.11,0.08,72.08,3.27,Bonne
8799,2024-05-02,1.89,1.7,126.42,1.31,0.0,66.83,0.05,Bonne
8800,2024-05-03,2.57,1.69,124.92,0.6,0.03,76.5,2.7,Bonne
8801,2024-05-04,3.94,2.83,123.96,0.93,0.06,70.92,5.73,Bonne
8802,2024-05-05,4.25,3.09,116.67,1.08,0.1,67.92,3.85,Bonne
8803,2024-05-06,5.12,3.51,113.75,0.72,0.13,85.58,3.6,Bonne
8804,2024-05-07,2.68,2.11,117.46,0.82,0.04,68.96,2.03,Bonne
8805,2024-05-08,2.55,2.22,126.54,1.3,0.06,72.46,2.94,Bonne
8806,2024-05-09,4.62,3.79,128.96,1.02,0.06,72.83,6.99,Bonne
8807,2024-05-10,4.75,3.92,131.0,1.07,0.08,73.54,10.98,Bonne
8808,2024-05-11,5.39,4.31,124.92,0.97,0.11,80.0,8.73,Bonne
8809,2024-05-12,7.02,5.48,127.17,0.99,0.28,81.92,9.81,Bonne
8810,2024-05-13,7.02,5.28,120.21,0.86,0.27,79.75,10.11,Bonne
8811,2024-05-14,6.7,4.87,113.71,1.06,0.1,74.88,6.66,Bonne
8812,2024-05-15,3.0,2.62,110.58,0.72,0.03,76.42,1.97,Bonne
8813,2024-05-16,2.68,2.3,114.71,0.99,0.03,68.25,1.79,Bonne
8814,2024-05-17,3.12,2.31,116.0,0.72,0.05,65.12,7.68,Bonne
8815,2024-05-18,5.28,3.57,111.21,0.96,0.15,71.71,11.5,Bonne
8816,2024-05-19,5.2,3.41,111.04,0.7,0.1,69.21,10.17,Bonne
8817,2024-05-20,8.12,5.69,108.42,0.84,0.05,66.71,11.05,Bonne
8818,2024-05-21,5.67,5.01,111.12,0.79,0.02,68.33,5.89,Bonne
8819,2024-05-22,4.75,3.73,115.71,0.66,0.03,75.17,9.66,Bonne
8820,2024-05-23,5.72,4.67,117.38,0.94,0.04,72.67,15.85,Bonne
8821,2024-05-24,3.29,2.83,117.88,0.82,0.01,68.12,12.79,Bonne
8822,2024-05-25,3.12,2.32,119.83,0.7,0.0,68.54,14.65,Bonne
8823,2024-05-26,4.11,2.79,119.71,0.73,0.08,70.54,21.49,Bonne
8824,2024-05-27,6.01,4.82,120.12,1.03,0.2,65.75,5.5,Bonne
8825,2024-05-28,3.93,2.27,121.58,0.71,0.08,77.54,20.15,Bonne
8826,2024-05-29,4.53,2.79,120.54,0.8,0.08,70.08,32.34,Bonne
8827,2024-05-30,3.78,2.69,113.67,0.84,0.06,58.46,19.36,Bonne
8828,2024-05-31,2.09,1.75,115.21,0.78,0.02,74.38,13.22,Bonne
8829,2024-06-01,2.14,1.89,117.96,0.8,0.02,72.04,9.75,Bonne
8830,2024-06-02,3.26,2.65,122.62,1.04,0.0,69.21,21.18,Bonne
8831,2024-06-03,2.95,2.55,134.42,1.22,0.0,67.5,10.85,Bonne
8832,2024-06-04,6.08,5.03,132.62,1.22,0.03,66.79,15.08,Bonne
8833,2024-06-05,7.11,5.3,125.33,0.95,0.06,70.08,19.92,Bonne
8834,2024-06-06,7.76,5.52,120.54,1.08,0.12,75.17,23.53,Bonne
8835,2024-06-07,7.93,5.86,112.5,1.3,0.13,70.54,26.9,Bonne
8836,2024-06-08,14.14,7.24,110.71,1.26,0.08,71.46,16.79,Bonne
8837,2024-06-09,24.37,10.48,106.17,1.06,0.18,67.58,15.85,Acceptable
8838,2024-06-10,5.89,4.7,111.75,0.79,0.07,66.38,16.49,Bonne
8839,2024-06-11,4.56,3.28,105.38,0.61,0.09,65.83,24.28,Bonne
8840,2024-06-12,4.36,3.16,112.12,0.77,0.11,77.21,28.2,Bonne
8841,2024-06-13,4.96,3.97,116.04,0.75,0.1,77.54,29.93,Bonne
8842,2024-06-14,4.68,3.47,108.96,1.15,0.1,70.29,29.21,Bonne
8843,2024-06-15,4.11,3.05,100.33,0.84,0.07,68.62,8.54,Bonne
8844,2024-06-16,4.35,2.61,103.42,0.72,0.03,65.12,24.34,Bonne
8845,2024-06-17,5.84,3.69,102.04,0.8,0.1,64.54,21.15,Bonne
8846,2024-06-18,12.9,6.6,99.5,0.98,0.22,65.75,20.45,Bonne
8847,2024-06-19,28.92,12.92,101.12,0.96,0.32,65.25,22.69,Acceptable
8848,2024-06-20,37.76,20.37,100.08,0.91,0.19,57.96,5.84,Acceptable
8849,2024-06-21,24.67,11.8,101.08,0.76,0.2,67.96,7.55,Acceptable
8850,2024-06-22,2.41,1.92,101.96,0.65,0.02,64.92,10.49,Bonne
8851,2024-06-23,1.62,1.35,100.75,0.7,0.0,64.38,9.1,Bonne
8852,2024-06-24,2.79,2.46,108.33,1.04,0.0,62.33,13.18,Bonne
8853,2024-06-25,4.65,3.91,116.96,1.37,0.03,66.96,9.3,Bonne
8854,2024-06-26,6.73,5.21,124.75,1.21,0.09,73.92,7.82,Bonne
8855,2024-06-27,7.04,5.18,112.33,1.05,0.08,73.62,11.5,Bonne
8856,2024-06-28,10.0,5.19,117.58,1.19,0.05,69.54,18.98,Bonne
8857,2024-06-29,23.52,10.3,111.25,1.18,0.14,67.21,11.26,Acceptable
8858,2024-06-30,12.68,5.6,103.46,0.86,0.03,70.96,6.05,Bonne
8859,2024-07-01,4.45,3.08,106.83,0.9,0.0,64.5,9.59,Bonne
8860,2024-07-02,3.38,2.67,103.88,0.7,0.01,70.54,9.32,Bonne
10678,2023-09-19,6.97,3.74,139.04,1.4,0.09,47.71,0.0,Bonne
10679,2023-09-20,6.25,3.42,150.17,1.73,0.16,47.33,0.0,Bonne
10680,2023-09-21,6.62,4.2,133.96,1.39,0.16,64.46,0.0,Bonne
10681,2023-09-22,4.44,2.52,147.33,0.94,0.08,64.83,0.0,Bonne
10682,2023-09-23,2.87,1.88,158.08,0.83,0.12,61.0,0.0,Bonne
10683,2023-09-24,3.25,2.26,160.79,1.06,0.18,58.0,0.0,Bonne
10684,2023-09-25,4.27,2.64,158.33,1.45,0.18,49.25,0.0,Bonne
10685,2023-09-26,5.03,3.18,144.75,1.65,0.19,55.83,0.0,Bonne
10686,2023-09-27,7.99,4.62,142.04,1.89,0.2,60.21,0.0,Bonne
10687,2023-09-28,10.15,5.82,141.71,2.0,0.34,65.96,0.0,Bonne
