id_diabete,annee,patho_niv1,patho_niv2,patho_niv3,top,region,dept,ntop,npop,prevalence,libelle_classe_age,libelle_sexe
932,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,94,,60,4800,1.146,de 35 a  39 ans,femmes
933,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,99,999,28700,2159200,1.329,de 35 a  39 ans,femmes
934,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,1,971,510,19690,2.611,de 35 a  39 ans,tous sexes
935,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,2,972,410,18100,2.265,de 35 a  39 ans,tous sexes
936,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,2,999,410,18100,2.265,de 35 a  39 ans,tous sexes
937,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,3,999,370,12900,2.837,de 35 a  39 ans,tous sexes
938,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,4,999,1910,58740,3.248,de 35 a  39 ans,tous sexes
939,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,6,999,220,8110,2.676,de 35 a  39 ans,tous sexes
940,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,77,1510,95680,1.579,de 35 a  39 ans,tous sexes
941,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,94,1440,96840,1.488,de 35 a  39 ans,tous sexes
942,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,11,95,1660,89720,1.848,de 35 a  39 ans,tous sexes
943,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,28,360,25260,1.429,de 35 a  39 ans,tous sexes
944,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,24,37,410,36040,1.149,de 35 a  39 ans,tous sexes
945,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,70,170,12920,1.308,de 35 a  39 ans,tous sexes
946,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,89,220,18280,1.203,de 35 a  39 ans,tous sexes
947,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,999,1870,156310,1.197,de 35 a  39 ans,tous sexes
948,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,60,790,51780,1.526,de 35 a  39 ans,tous sexes
949,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,32,80,480,33060,1.449,de 35 a  39 ans,tous sexes
950,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,10,260,17020,1.51,de 35 a  39 ans,tous sexes
951,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,51,550,33770,1.617,de 35 a  39 ans,tous sexes
952,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,55,140,9750,1.436,de 35 a  39 ans,tous sexes
953,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,44,8,240,14910,1.616,de 35 a  39 ans,tous sexes
954,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,44,1010,95630,1.053,de 35 a  39 ans,tous sexes
955,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,52,85,390,39070,0.996,de 35 a  39 ans,tous sexes
956,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,53,22,280,31350,0.88,de 35 a  39 ans,tous sexes
957,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,53,999,1770,193620,0.913,de 35 a  39 ans,tous sexes
958,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,17,370,35620,1.039,de 35 a  39 ans,tous sexes
959,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,19,160,12090,1.34,de 35 a  39 ans,tous sexes
960,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,24,260,20030,1.283,de 35 a  39 ans,tous sexes
961,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,64,350,40060,0.884,de 35 a  39 ans,tous sexes
962,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,75,86,310,23920,1.275,de 35 a  39 ans,tous sexes
963,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,12,140,14350,0.948,de 35 a  39 ans,tous sexes
964,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,30,560,44090,1.261,de 35 a  39 ans,tous sexes
1026,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,27,25,290,16560,1.751,de 40 a  44 ans,femmes
965,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,31,1110,96250,1.151,de 35 a  39 ans,tous sexes
966,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,46,70,8340,0.863,de 35 a  39 ans,tous sexes
967,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,82,180,15350,1.153,de 35 a  39 ans,tous sexes
968,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,76,9,90,8150,1.153,de 35 a  39 ans,tous sexes
969,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,1,460,39490,1.17,de 35 a  39 ans,tous sexes
970,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,26,320,31480,1.023,de 35 a  39 ans,tous sexes
971,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,42,550,44250,1.247,de 35 a  39 ans,tous sexes
972,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,7,210,18120,1.164,de 35 a  39 ans,tous sexes
973,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,73,260,27140,0.954,de 35 a  39 ans,tous sexes
974,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,84,74,500,55910,0.889,de 35 a  39 ans,tous sexes
975,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,93,999,4190,319280,1.313,de 35 a  39 ans,tous sexes
976,2020,Diabete,Diabete,Diabete,DIA_CAT_CAT,1,971,310,8100,3.875,de 40 a  44 ans,hommes
