date,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,grass_pollen,air_quality
2024-05-08,2024-05-08 11:30:00,2.55,2.22,126.54,1.3,0.06,72.46,2.94,Bonne
2024-05-09,2024-05-09 11:30:00,4.62,3.79,128.96,1.02,0.06,72.83,6.99,Bonne
2024-05-10,2024-05-10 11:30:00,4.75,3.92,131.0,1.07,0.08,73.54,10.98,Bonne
2024-05-11,2024-05-11 11:30:00,5.39,4.31,124.92,0.97,0.11,80.0,8.73,Bonne
2024-05-12,2024-05-12 11:30:00,7.02,5.48,127.17,0.99,0.28,81.92,9.81,Bonne
2024-05-13,2024-05-13 11:30:00,7.02,5.28,120.21,0.86,0.27,79.75,10.11,Bonne
2024-05-14,2024-05-14 11:30:00,6.7,4.87,113.71,1.06,0.1,74.88,6.66,Bonne
2024-05-15,2024-05-15 11:30:00,3.0,2.62,110.58,0.72,0.03,76.42,1.97,Bonne
2024-05-16,2024-05-16 11:30:00,2.68,2.3,114.71,0.99,0.03,68.25,1.79,Bonne
2024-05-17,2024-05-17 11:30:00,3.12,2.31,116.0,0.72,0.05,65.12,7.68,Bonne
2024-05-18,2024-05-18 11:30:00,5.28,3.57,111.21,0.96,0.15,71.71,11.5,Bonne
2024-05-19,2024-05-19 11:30:00,5.2,3.41,111.04,0.7,0.1,69.21,10.17,Bonne
2024-05-20,2024-05-20 11:30:00,8.12,5.69,108.42,0.84,0.05,66.71,11.05,Bonne
2024-05-21,2024-05-21 11:30:00,5.67,5.01,111.12,0.79,0.02,68.33,5.89,Bonne
2024-05-22,2024-05-22 11:30:00,4.75,3.73,115.71,0.66,0.03,75.17,9.66,Bonne
2024-05-23,2024-05-23 11:30:00,5.72,4.67,117.38,0.94,0.04,72.67,15.85,Bonne
2024-05-24,2024-05-24 11:30:00,3.29,2.83,117.88,0.82,0.01,68.12,12.79,Bonne
2024-05-25,2024-05-25 11:30:00,3.12,2.32,119.83,0.7,0.0,68.54,14.65,Bonne
2024-05-26,2024-05-26 11:30:00,4.11,2.79,119.71,0.73,0.08,70.54,21.49,Bonne
2024-05-27,2024-05-27 11:30:00,6.01,4.82,120.12,1.03,0.2,65.75,5.5,Bonne
2024-05-28,2024-05-28 11:30:00,3.93,2.27,121.58,0.71,0.08,77.54,20.15,Bonne
2024-05-29,2024-05-29 11:30:00,4.53,2.79,120.54,0.8,0.08,70.08,32.34,Bonne
2024-05-30,2024-05-30 11:30:00,3.78,2.69,113.67,0.84,0.06,58.46,19.36,Bonne
2024-05-31,2024-05-31 11:30:00,2.09,1.75,115.21,0.78,0.02,74.38,13.22,Bonne
2024-06-01,2024-06-01 11:30:00,2.14,1.89,117.96,0.8,0.02,72.04,9.75,Bonne
2024-06-02,2024-06-02 11:30:00,3.26,2.65,122.62,1.04,0.0,69.21,21.18,Bonne
2024-06-03,2024-06-03 11:30:00,2.95,2.55,134.42,1.22,0.0,67.5,10.85,Bonne
2024-06-04,2024-06-04 11:30:00,6.08,5.03,132.62,1.22,0.03,66.79,15.08,Bonne
2024-06-05,2024-06-05 11:30:00,7.11,5.3,125.33,0.95,0.06,70.08,19.92,Bonne
2024-06-06,2024-06-06 11:30:00,7.76,5.52,120.54,1.08,0.12,75.17,23.53,Bonne
2024-06-07,2024-06-07 11:30:00,7.93,5.86,112.5,1.3,0.13,70.54,26.9,Bonne
2024-06-08,2024-06-08 11:30:00,14.14,7.24,110.71,1.26,0.08,71.46,16.79,Bonne
2024-06-09,2024-06-09 11:30:00,24.37,10.48,106.17,1.06,0.18,67.58,15.85,Acceptable
2024-06-10,2024-06-10 11:30:00,5.89,4.7,111.75,0.79,0.07,66.38,16.49,Bonne
2024-06-11,2024-06-11 11:30:00,4.56,3.28,105.38,0.61,0.09,65.83,24.28,Bonne
2024-06-12,2024-06-12 11:30:00,4.36,3.16,112.12,0.77,0.11,77.21,28.2,Bonne
2024-06-13,2024-06-13 11:30:00,4.96,3.97,116.04,0.75,0.1,77.54,29.93,Bonne
2024-06-14,2024-06-14 11:30:00,4.68,3.47,108.96,1.15,0.1,70.29,29.21,Bonne
2024-06-15,2024-06-15 11:30:00,4.11,3.05,100.33,0.84,0.07,68.62,8.54,Bonne
2024-06-16,2024-06-16 11:30:00,4.35,2.61,103.42,0.72,0.03,65.12,24.34,Bonne
2024-06-17,2024-06-17 11:30:00,5.84,3.69,102.04,0.8,0.1,64.54,21.15,Bonne
2024-06-18,2024-06-18 11:30:00,12.9,6.6,99.5,0.98,0.22,65.75,20.45,Bonne
2024-06-19,2024-06-19 11:30:00,28.92,12.92,101.12,0.96,0.32,65.25,22.69,Acceptable
2024-06-20,2024-06-20 11:30:00,37.76,20.37,100.08,0.91,0.19,57.96,5.84,Acceptable
2024-06-21,2024-06-21 11:30:00,24.67,11.8,101.08,0.76,0.2,67.96,7.55,Acceptable
2024-06-22,2024-06-22 11:30:00,2.41,1.92,101.96,0.65,0.02,64.92,10.49,Bonne
2024-06-23,2024-06-23 11:30:00,1.62,1.35,100.75,0.7,0.0,64.38,9.1,Bonne
2024-06-24,2024-06-24 11:30:00,2.79,2.46,108.33,1.04,0.0,62.33,13.18,Bonne
2024-06-25,2024-06-25 11:30:00,4.65,3.91,116.96,1.37,0.03,66.96,9.3,Bonne
2024-06-26,2024-06-26 11:30:00,6.73,5.21,124.75,1.21,0.09,73.92,7.82,Bonne
2024-06-27,2024-06-27 11:30:00,7.04,5.18,112.33,1.05,0.08,73.62,11.5,Bonne
2024-06-28,2024-06-28 11:30:00,10.0,5.19,117.58,1.19,0.05,69.54,18.98,Bonne
2024-06-29,2024-06-29 11:30:00,23.52,10.3,111.25,1.18,0.14,67.21,11.26,Acceptable
2024-06-30,2024-06-30 11:30:00,12.68,5.6,103.46,0.86,0.03,70.96,6.05,Bonne
2024-07-01,2024-07-01 11:30:00,4.45,3.08,106.83,0.9,0.0,64.5,9.59,Bonne
2024-07-02,2024-07-02 11:30:00,3.38,2.67,103.88,0.7,0.01,70.54,9.32,Bonne
